レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240608TKN03,11,2,1,3.0,1.0,40.0,1,0,0.0964193949705002,0.6353100518228233,1.748653709838108,0.6662624559215625,-0.4777603973737823
20240608TKN04,11,3,1,4.0,2.0,40.0,1,0,0.3099197630859793,0.2761225267861589,-0.9452564412612234,-0.4298405626020405,-0.9128709291752888
20240608TKN05,11,4,1,4.0,2.0,40.0,2,1,-0.2535047649803389,0.1684176804736516,-0.0978141774158458,0.6997432611768221,-1.7820810891006345
20240608TKN06,11,5,1,4.0,2.0,40.0,1,0,0.6769915922623889,0.5102341355568801,0.5629743314462684,0.0896953123366319,0.0
20240608TKN07,11,6,1,4.0,2.0,40.0,2,0,-0.2255129925195506,-1.7213548994107342,-0.304766044928417,1.1950961327107732,-0.6117609802905062
20240608TKN08,11,7,1,4.0,2.0,40.0,2,0,-0.1949293701511347,-1.3691792665649831,0.1834283962834266,-0.9715581411629786,1.361432850668825
20240608TKN09,11,8,0,4.0,2.0,40.0,1,0,0.9740935045413336,1.1512831266999284,-0.9272417183568,-0.8929784404210864,1.3422474087348244
20240608TKN10,11,9,0,5.0,3.0,40.0,2,1,-1.266483179890979,-0.4497931026451107,1.0450716144443,-0.0026822436382456,-1.2649110640673558
20240608TKN11,11,10,0,3.0,1.0,40.0,1,1,-1.094861898843583,-1.219038135579517,-0.1752086682398772,-0.1660162657497043,1.2358683097253411
20240608TKN12,11,11,0,4.0,2.0,40.0,0,0,-0.5514718052053484,-0.7898844739015949,-0.8131428942629079,0.4552158721208644,-0.6011297132511331
20240608GMG01,22,0,3,3.0,1.0,41.3,0,1,-0.5946223785705262,-0.6020624534123432,-1.1443067415534327,0.3443859139739497,0.6092717958449406
20240608GMG02,22,1,3,5.0,2.0,41.3,0,1,-1.074060860165597,-0.7089314487915185,-0.3296186899927885,-1.4263447398395512,0.5345224838248398
20240608GMG03,22,2,3,4.0,2.0,41.3,0,1,0.9912295957231966,0.353167104765289,1.9057038302893392,1.7392476426184382,-1.0330931326676438
20240608GMG04,22,3,3,4.0,2.0,41.3,0,1,1.232385365423741,0.0465942301161416,-0.2018248612965372,0.6779374485695795,-0.6634034720037846
20240608GMG05,22,4,3,4.0,2.0,41.3,0,1,0.6570210551408016,0.6108355077269937,2.020947302916365,0.3733916072041987,-1.2389865694583684
20240608GMG06,22,5,3,3.0,1.0,41.3,0,1,-1.9117385845258377,0.5742247793789697,1.145725238832855,-1.224927918980097,1.326806944007527
20240608GMG07,22,6,3,3.0,1.0,41.3,0,0,0.1749106780009205,-1.9144501561756468,1.5450296608821157,-0.2356486018093443,-0.6723314065958728
20240608GMG08,22,7,3,2.0,1.0,41.3,0,0,0.0100496168468176,0.048146665174445,1.5064684413682017,-0.4185811226858727,0.1559153846057238
20240608GMG09,22,8,3,3.0,1.0,41.3,0,1,-0.4592171712195537,0.6986716144955829,-0.6784545062281292,-0.7982839727740069,0.6225728063646895
20240608GMG10,22,9,3,2.0,1.0,41.3,0,1,-1.1758479961959445,-1.1939148692093968,-0.7068463467428653,0.9443992460056148,-0.8371665943707092
20240608GMG11,22,10,3,2.0,1.0,41.3,0,0,-0.4351677022649198,1.0430335750028277,-0.1031926440207475,0.4171393698732457,1.6974285306185144
20240608GMG12,22,11,3,3.0,1.0,41.3,0,0,0.7377336463803184,0.1094803400502729,-0.2462890176193346,-1.7371306786148777,1.302607826091348
20240608HMN01,18,0,3,4.0,2.0,42.7,3,0,-1.3783909528642295,-1.0965324691072642,-1.1532733580864627,0.1695916163731476,-0.7595545253127781
20240608HMN02,18,1,3,4.0,2.0,42.7,2,1,-0.9305635454647616,-1.4505814662267165,0.8964037348929146,1.6447556729659327,-0.9128709291752496
20240608HMN03,18,2,3,4.0,2.0,42.7,2,0,-1.0477945161004658,-0.4025380364564606,-0.6984799126727423,0.173899355269499,0.4870881870470561
20240608HMN04,18,3,3,4.0,2.0,42.7,2,0,-0.2707738117407982,-0.0394183379463833,0.3563454112940393,-0.565337390361153,-0.6358383670736623
20240608HMN05,18,4,3,4.0,2.0,42.7,1,1,-0.0732933811361868,0.3268202764794904,-0.7139216485700176,-0.4539221073324349,0.833333333333328
20240608HMN06,18,5,3,4.0,2.0,42.7,1,1,0.1696316064400173,0.9693874012054368,-0.0836196291131807,-1.089672509915692,1.6397376629592109
20240608HMN07,18,6,3,4.0,2.0,42.7,1,0,-0.1496160983507951,0.4482896228018149,-0.8500745256285882,-0.0730014475986067,1.2909944487358145
20240608HMN08,18,7,3,4.0,2.0,42.7,1,0,0.713655745609331,0.5938053442122121,-0.9666966526766788,0.1882641557639505,0.243975018237137
20240608HMN09,18,8,3,4.0,2.0,42.7,2,0,-0.8655572360005642,-0.924111812742326,-0.7592447579097624,-0.170517832202412,0.9128709291752852
20240608HMN10,18,9,3,4.0,2.0,42.7,2,0,0.1548567409193257,-0.3679001146958158,-1.191413112356096,0.462198175369395,-0.9225312080288915
