レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240626KRY02,2.3,8.3,3.6,58.8,39.7,18.8,153.0,51.8,133.1,102.0,13.0,6.0,68.0,15.3,133.1,95.6,54.6,180.0,117.7,255.1
20240626KRY03,11.0,20.8,40.9,30.0,3.1,8.3,5.8,15.8,7.4,19.5,40.3,49.4,65.3,121.0,87.5,101.5,20.2,13.5,31.2,27.8
20240626KRY04,4.0,10.9,26.0,128.1,3.3,7.3,70.9,16.8,128.1,202.8,6.8,15.1,78.5,24.0,101.4,117.7,8.4,76.0,104.3,135.2
20240626KRY05,12.5,6.9,80.7,58.8,3.6,52.4,45.9,53.4,15.4,228.6,3.7,69.1,34.3,57.9,11.4,196.0,31.9,4.7,187.0,67.4
20240626KRY06,5.8,8.3,35.7,6.0,4.2,53.3,3.8,82.2,5.9,59.4,39.4,128.8,46.8,145.8,42.4,145.8,145.8,33.3,188.5,135.6
20240626KRY07,4.0,9.0,22.2,116.8,3.2,6.7,57.9,10.5,57.9,94.5,12.2,21.1,128.5,25.4,107.1,156.7,12.6,59.5,107.1,36.9
20240626KRY08,4.5,15.8,2.1,20.8,24.9,5.1,44.5,20.2,66.3,23.0,44.2,19.1,96.7,49.8,124.3,57.5,63.1,159.8,87.0,88.0
20240626KRY09,1.7,6.1,11.1,6.3,15.5,27.7,19.5,58.3,53.9,75.0,30.1,38.4,28.2,77.9,71.5,81.1,131.2,133.4,167.5,164.0
20240626KRY10,28.8,6.1,5.2,18.4,37.1,30.0,74.3,3.3,8.1,6.0,116.4,151.2,156.6,22.9,53.4,43.2,91.3,173.1,156.6,10.5
20240626KRY11,5.6,2.8,7.9,12.5,33.2,56.2,75.9,23.0,32.1,87.1,13.8,26.9,44.9,8.2,9.9,33.0,75.5,101.4,188.2,21.6
20240626KRY12,2.6,7.1,7.3,32.7,9.6,12.5,37.4,22.3,48.7,48.1,13.5,9.6,48.7,24.5,50.8,50.6,33.7,78.8,56.3,51.9
20240626TDA01,4.0,4.2,13.2,32.9,10.3,14.6,67.8,22.3,40.7,78.6,5.9,13.6,50.1,15.6,32.6,69.2,16.8,44.9,80.5,48.7
20240626TDA02,8.6,30.0,27.8,73.7,6.6,4.4,67.2,24.8,114.2,126.9,9.9,6.1,57.1,23.3,91.4,81.6,3.8,40.8,27.5,67.2
20240626TDA03,4.2,2.9,13.3,23.8,14.4,34.4,71.9,35.0,59.9,80.7,5.6,15.8,54.2,9.9,35.3,69.4,29.0,69.4,119.9,92.0
20240626TDA04,8.3,47.0,2.8,12.1,86.1,9.0,28.7,47.9,72.7,7.3,110.7,7.3,29.8,48.9,116.3,7.3,94.9,141.0,18.4,53.4
20240626TDA05,12.7,2.8,29.9,40.8,3.8,34.2,40.3,6.8,5.9,46.9,26.9,101.5,116.6,41.4,47.7,136.8,35.7,46.3,143.1,29.4
